month_continuous,gp_mean,gp_lower_95,gp_upper_95
1.0,0.306041963890785,0.13520552503818764,0.47687840274338233
1.0552763819095476,0.3062163780849521,0.13834463539959557,0.47408812077030865
1.1105527638190955,0.30639291807870295,0.14109074099958066,0.47169509515782526
1.1658291457286432,0.3065852103485845,0.14348119674094226,0.4696892239562267
1.221105527638191,0.30680709942170714,0.14555644044320404,0.46805775840021024
1.2763819095477387,0.30707258082514693,0.1473592414137111,0.4667859202365828
1.3316582914572863,0.30739573125436515,0.14893390103322787,0.4658575614755024
1.3869346733668342,0.3077906362717619,0.15032544723019142,0.46525582531333237
1.442211055276382,0.30827131587065126,0.15157886102121151,0.464963770720091
1.4974874371859297,0.30885164826270295,0.15273836623649936,0.4649649302889065
1.5527638190954773,0.3095452922679868,0.1538468046136513,0.46524377992232235
1.6080402010050252,0.31036560870607854,0.1549451091210728,0.4657861082910843
1.6633165829145728,0.3113255812039575,0.1560718798682947,0.4665792825396202
1.7185929648241207,0.31243773685155996,0.15726306004979587,0.46761241365332407
1.7738693467336684,0.3137140671486218,0.15855170438564054,0.4688764299116031
1.829145728643216,0.3151659496967388,0.15996782944105697,0.4703640699524206
1.8844221105527639,0.31680407109826997,0.16153833376717638,0.4720698084293635
1.9396984924623117,0.31863835152859643,0.16328697563099664,0.4739897274261962
1.9949748743718594,0.3206778714503811,0.16523439680037522,0.47612134610038703
2.050251256281407,0.32293080093761495,0.167398182067507,0.4784634198077229
2.1055276381909547,0.32540433207341396,0.16979294565175923,0.4810157184950687
2.1608040201005023,0.32810461487866116,0.17243043711840084,0.4837787926389215
2.2160804020100504,0.331036697218677,0.17531966085331244,0.4867537335840416
2.271356783919598,0.334204469122107,0.17846700437246327,0.4899419338717507
2.3266331658291457,0.33761061193017683,0.18187637178823152,0.49334485207212214
2.381909547738694,0.3412565526754876,0.18554931960125873,0.49696378574971645
2.4371859296482414,0.3451424240674923,0.18948519265186392,0.5007996554831207
2.492462311557789,0.3492670304370787,0.19368125857520035,0.504852802298957
2.5477386934673367,0.3536278199650602,0.1981328394878811,0.5091228004422393
2.6030150753768844,0.35822086348929544,0.20283343992051509,0.5136082870580758
2.658291457286432,0.3630408401525328,0.2077748702271931,0.5183068100778725
2.71356783919598,0.36808103011819315,0.2129473648730722,0.5232146953633141
2.7688442211055277,0.37333331454436497,0.21833969514444204,0.5283269339442879
2.8241206030150754,0.37878818296741557,0.22393927595665708,0.533637089978174
2.8793969849246235,0.38443474820617785,0.22973226656524912,0.5391372298471065
2.934673366834171,0.3902607688556757,0.23570366512024019,0.5448178725911111
2.9899497487437188,0.3962526793964347,0.241837397146567,0.5506679616463024
3.0452261306532664,0.40239562790134376,0.24811639818305042,0.5566748576196371
3.100502512562814,0.4086735212775896,0.25452269096580676,0.5628243515893725
3.155778894472362,0.4150690779362371,0.2610374576932434,0.5691006981792308
3.21105527638191,0.4215638877371944,0.2676411080524857,0.575486667421903
3.2663316582914574,0.4281384790125828,0.27431334381351824,0.5819636142116473
3.321608040201005,0.4347723924275143,0.28103322090090477,0.5885115639541239
3.3768844221105527,0.44144426139401055,0.2877792099272294,0.5951093128607917
3.432160804020101,0.4481318987117133,0.2945292562130434,0.6017345412103832
3.4874371859296485,0.4548123890684297,0.3012608403224651,0.6083639378143944
3.542713567839196,0.4614621869945538,0.30795104011071484,0.6149733338783928
3.5979899497487438,0.46805721982854376,0.31457659521150283,0.6215378444455847
3.6532663316582914,0.4745729952158445,0.3211139747911388,0.6280320156405502
3.7085427135678395,0.4809847126314947,0.32753944926738354,0.6344299759956059
3.763819095477387,0.487267378387129,0.33382916653998707,0.640705590234271
3.819095477386935,0.49339592355656464,0.33995923311304643,0.6468326140000829
3.8743718592964824,0.4993453242306679,0.3459058003130402,0.6527848481482956
3.9296482412060305,0.5050907234921156,0.3516451556274114,0.6585362913568198
3.984924623115578,0.5106075544839602,0.3571538190123327,0.6640612899555878
4.040201005025126,0.5158716639327942,0.3624086438501205,0.6693346840154678
4.0954773869346734,0.5208594354779252,0.3673869220809998,0.6743319488748507
4.150753768844221,0.525547912152239,0.3720664928934918,0.6790293314109861
4.206030150753769,0.5299149173587313,0.37642585423574876,0.6834039804817138
4.261306532663317,0.5339391736885437,0.38044427630735134,0.6874340710697361
4.316582914572864,0.5376004189323087,0.384101916109101,0.6910989217555163
4.371859296482413,0.5408795186463031,0.38737993206688515,0.6943791052257211
4.42713567839196,0.5437585746483002,0.3902605977044049,0.6972565515921956
4.482412060301508,0.5462210288353437,0.3927274133182569,0.6997146443524306
4.5376884422110555,0.5482517617363051,0.39476521460557723,0.7017383088670329
4.592964824120603,0.549837185236528,0.3963602772090142,0.7033140932640418
4.648241206030151,0.5509653289393959,0.3975004161737414,0.7044302417050503
4.703517587939698,0.5516259196605429,0.3981750793557925,0.7050767599652932
4.758793969849247,0.551810453584205,0.39837543387804464,0.7052454732903654
4.814070351758794,0.5515122606479019,0.3980944447984538,0.7049300764973501
4.869346733668342,0.550726560760702,0.39732694523233425,0.7041261762890698
4.92462311557789,0.5494505115019608,0.39606969725582475,0.7028313257480968
4.9798994974874375,0.5476832469909796,0.3943214430082782,0.701045050973681
5.035175879396985,0.5454259076634465,0.3920829455064531,0.6987688698204397
5.090452261306533,0.542681660737524,0.3893570187810076,0.6960063026940404
5.1457286432160805,0.5394557112006834,0.3861485470440185,0.6927628753573483
5.201005025125628,0.5357553031976358,0.3824644926942674,0.6890461137010041
5.256281407035176,0.5315897117496186,0.37831389306278496,0.6848655304364522
5.311557788944724,0.5269702247855969,0.3737078458935946,0.6802326036775991
5.366834170854272,0.5219101155164101,0.36865948364306167,0.6751607473897585
5.42211055276382,0.516424605233193,0.36318393676402794,0.6696652737023581
5.477386934673367,0.5105308166610029,0.3572982862180091,0.6637633471039966
5.532663316582915,0.504247718047826,0.35102150552937517,0.6574739305662768
5.5879396984924625,0.49759605821708386,0.3443743927591939,0.6508177236749738
5.64321608040201,0.4905982928583489,0.3373794928334522,0.6438170928832456
5.698492462311558,0.4832785023763516,0.3300610107104627,0.6364959940422406
5.7537688442211055,0.475662301661633,0.3224447159160963,0.6288798874071697
5.809045226130654,0.4677767421875704,0.3145578390127118,0.620995645362429
5.864321608040202,0.45965020687784225,0.3064289605995666,0.6128714531561179
5.919597989949749,0.45131229822469937,0.29808789346872744,0.6045367029806713
5.974874371859297,0.44279372017303276,0.28956555856254484,0.5960218817835207
6.030150753768845,0.43412615431619583,0.28089385539631345,0.5873584532360783
6.085427135678392,0.4253421309780233,0.27210552762375184,0.5785787343322948
6.14070351758794,0.4164748957809036,0.2632340244340242,0.5697157671277829
6.1959798994974875,0.40755827232192554,0.2543133584772167,0.5608031861666344
